Sample,Cruise,Expt,Depth,Light,Treatment_2,Station,Cast,Longitude,Latitude,SigmaT,Salinity,Temp,Oxygen,NO2,NO3,NH4,Chl_SP,pPAR,Inc.PAR,NH3.Ox.12,Stdev_4,SE_4,NO2.Ox.12,Stdev_2,SE_2,NO3.Red.12,Stdev_3,SE_3,NO2.up,NO3.up,NH3.up,PNM_depth,PNM_max,Chl_max,Chl_depth,NitPNM,Nitracline_top
#,ID,ID,m,condition,ID,ID,#,deg W,deg N,kg/m3,PSU,deg C,umol/L,umol/L,umol/L,nmol/L,mg/m3,%,%,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,nmol/L/day,m,umol/L,mg/m3,m,umol/L,m
69,Falkor,EX1,70,HL,20uM NO3,F2,5,103.00,14.00,24.27565,34.478,20.34,79,0.31,32.25,25.00,0.4,0.0265,0.2500,25.32,10.49,7.41,19.36,0.29,0.21,NA,NA,NA,1.83,NA,NA,60.00,0.76,0.76,59.00,5.80,50.00
70,Falkor,EX2,65,DK,Filtered,F9,16,110.00,14.00,22.70454,34.074,24.8,150,0.39,7.48,20.00,0.65,0.0075,0.0000,NA,0.25,0.18,NA,3.22,2.27,NA,NA,NA,NA,NA,NA,65.00,0.39,2.05,7.60,4.31,65.00
71,Falkor,EX2,65,DK,Ambient,F9,16,110.00,14.00,22.70454,34.074,24.8,150,0.39,7.20,20.00,0.65,0.0075,0.0000,22.70,1.06,0.75,11.75,4.80,3.40,NA,NA,NA,NA,NA,NA,65.00,0.39,2.05,7.60,4.31,65.00
72,Falkor,EX2,65,LL,Ambient,F9,16,110.00,14.00,22.70454,34.074,24.8,150,0.39,7.56,20.00,0.65,0.0075,0.0100,20.50,1.76,1.24,11.10,4.98,3.52,NA,NA,NA,NA,NA,NA,65.00,0.39,2.05,7.60,4.31,65.00
73,Falkor,EX2,65,ML,Ambient,F9,16,110.00,14.00,22.70454,34.074,24.8,150,0.39,7.44,20.00,0.65,0.0075,0.0500,18.75,1.49,1.05,15.62,2.39,1.69,NA,NA,NA,NA,NA,NA,65.00,0.39,2.05,7.60,4.31,65.00
74,Falkor,EX2,65,HL,Ambient,F9,16,110.00,14.00,22.70454,34.074,24.8,150,0.39,8.50,20.00,0.65,0.0075,0.2500,13.24,0.12,0.09,20.40,9.13,6.45,NA,NA,NA,NA,NA,NA,65.00,0.39,2.05,7.60,4.31,65.00
75,Falkor,EX2,65,DK,20uM NO3,F9,16,110.00,14.00,22.70454,34.074,24.8,150,0.39,24.94,20.00,0.65,0.0075,0.0000,20.13,0.66,0.46,7.34,0.41,0.29,NA,NA,NA,NA,NA,NA,65.00,0.39,2.05,7.60,4.31,65.00
76,Falkor,EX2,65,LL,20uM NO3,F9,16,110.00,14.00,22.70454,34.074,24.8,150,0.39,25.76,20.00,0.65,0.0075,0.0100,19.36,1.19,0.84,9.90,3.85,2.72,NA,NA,NA,NA,NA,NA,65.00,0.39,2.05,7.60,4.31,65.00
77,Falkor,EX2,65,ML,20uM NO3,F9,16,110.00,14.00,22.70454,34.074,24.8,150,0.39,24.66,20.00,0.65,0.0075,0.0500,14.49,1.61,1.14,10.76,6.57,4.65,NA,NA,NA,NA,NA,NA,65.00,0.39,2.05,7.60,4.31,65.00
78,Falkor,EX2,65,HL,20uM NO3,F9,16,110.00,14.00,22.70454,34.074,24.8,150,0.39,25.12,20.00,0.65,0.0075,0.2500,11.61,1.14,0.81,19.11,16.27,11.50,NA,NA,NA,NA,NA,NA,65.00,0.39,2.05,7.60,4.31,65.00
79,Falkor,EX3,50,DK,Filtered,9,19,110.00,14.00,22.16,33.99,26.35,185.1,0.15,22.66,59.00,0.94,0.0240,0.0000,NA,1.14,0.81,NA,0.82,0.58,NA,NA,NA,NA,NA,NA,70.00,0.20,2.05,7.60,4.31,65.00
80,Falkor,EX3,50,DK,<0.7 GFF 20uM NO3,9,19,110.00,14.00,22.16,33.99,26.35,185.1,0.15,23.91,59.00,0.94,0.0240,0.0000,NA,5.17,3.66,NA,24.64,17.42,NA,NA,NA,NA,NA,NA,70.00,0.20,2.05,7.60,4.31,65.00
81,Falkor,EX3,50,DK,53um,9,19,110.00,14.00,22.16,33.99,26.35,185.1,0.15,23.23,59.00,0.94,0.0240,0.0000,NA,0.09,0.07,NA,9.01,6.37,NA,NA,NA,NA,NA,NA,70.00,0.20,2.05,7.60,4.31,65.00
82,Falkor,EX3,50,DK,Ambient,9,19,110.00,14.00,22.16,33.99,26.35,185.1,0.15,22.61,59.00,0.94,0.0240,0.0000,NA,0.09,0.06,NA,11.08,7.83,NA,NA,NA,NA,NA,NA,70.00,0.20,2.05,7.60,4.31,65.00
83,Falkor,EX3,50,ML,Filtered,9,19,110.00,14.00,22.16,33.99,26.35,185.1,0.15,22.96,59.00,0.94,0.0240,0.0500,NA,0.79,0.56,NA,4.16,2.94,NA,NA,NA,NA,NA,NA,70.00,0.20,2.05,7.60,4.31,65.00
84,Falkor,EX3,50,ML,<0.7 GFF 20uM NO3,9,19,110.00,14.00,22.16,33.99,26.35,185.1,0.15,23.50,59.00,0.94,0.0240,0.0500,NA,0.46,0.33,NA,1.09,0.77,NA,NA,NA,NA,NA,NA,70.00,0.20,2.05,7.60,4.31,65.00
85,Falkor,EX3,50,ML,53um,9,19,110.00,14.00,22.16,33.99,26.35,185.1,0.15,24.45,59.00,0.94,0.0240,0.0500,NA,3.52,2.49,NA,2.52,1.78,NA,NA,NA,NA,NA,NA,70.00,0.20,2.05,7.60,4.31,65.00
86,Falkor,EX3,50,ML,Ambient,9,19,110.00,14.00,22.16,33.99,26.35,185.1,0.15,23.47,59.00,0.94,0.0240,0.0500,NA,0.63,0.44,NA,12.36,8.74,NA,NA,NA,NA,NA,NA,70.00,0.20,2.05,7.60,4.31,65.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
